task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_50,humaneval,pass,0,,0,,0,4.000,4.000,85.161,101.950,1.500,152.925,0.000,0.000,3.000,2.480,100.000,100.000,100.000,100.000,100.000,100.000,100.000,4.000,4.000,85.161,101.950,1.500,152.925,0.000,0.000,3.000,2.530,123
HumanEval_51,humaneval,pass,1,magic_number,1,magic_number,0,2.000,3.000,67.731,4.755,0.500,2.377,0.000,0.000,2.000,2.933,32.877,51.396,60.000,44.773,88.000,91.897,91.583,2.000,3.000,67.731,4.755,0.500,2.377,0.000,0.000,2.000,2.819,141
HumanEval_52,humaneval,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,1.000,3.926,6.661,19.181,31.579,10.550,29.412,81.374,81.701,5.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,2.989,30
HumanEval_53,humaneval,pass,0,,0,,0,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,2.195,100.000,100.000,100.000,100.000,100.000,100.000,100.000,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,2.538,62
HumanEval_54,humaneval,fail,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,1.000,2.916,48.327,52.800,60.000,55.032,100.000,96.135,96.913,2.000,1.000,68.000,4.755,0.500,2.377,0.000,0.000,1.000,2.820,32
HumanEval_55,humaneval,pass,0,,0,,0,8.000,3.000,94.853,23.265,1.500,34.897,4.000,0.000,1.000,1.920,8.960,28.616,35.000,24.052,49.438,80.906,89.267,6.000,3.000,89.327,47.549,2.500,118.872,3.000,0.000,1.000,1.965,107
HumanEval_56,humaneval,pass,1,magic_number,1,magic_number,0,9.000,6.000,66.172,55.351,2.857,158.145,8.000,0.000,2.000,2.158,20.484,38.379,36.364,15.334,47.312,81.804,93.020,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,2.850,65
HumanEval_57,humaneval,pass,0,,0,,0,3.000,4.000,76.508,25.266,2.250,56.849,1.000,0.000,2.000,2.070,4.744,14.172,26.316,13.318,45.455,75.456,83.825,4.000,3.000,80.659,25.266,1.200,30.319,2.000,0.000,1.000,2.794,58
HumanEval_58,humaneval,pass,0,,0,,0,3.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,2.000,2.988,3.484,24.612,23.077,6.042,34.483,81.635,83.687,7.000,4.000,100.000,4.755,0.500,2.377,6.000,0.000,4.000,3.408,51
HumanEval_59,humaneval,pass,1,magic_number,1,magic_number,0,11.000,5.000,89.019,88.811,5.000,444.053,5.000,36.364,3.000,2.918,17.294,32.132,37.037,20.616,45.752,82.482,91.655,13.000,4.000,89.249,101.950,3.692,376.432,15.000,0.000,3.000,2.313,201
