task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_65,humaneval,fail,0,,0,,10,15.000,1.000,78.923,27.000,1.000,27.000,0.000,100.000,4.000,11.578,28.653,21.739,31.338,64.220,6.000,2.000,87.025,48.432,2.571,124.540,2.000,0.000,2.000,448
HumanEval_66,humaneval,pass,0,,0,,0,2.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,26.251,42.094,42.857,14.717,61.538,3.000,4.000,57.973,4.755,0.500,2.377,2.000,0.000,3.000,233
HumanEval_67,humaneval,fail,0,,0,,0,11.000,2.000,89.429,82.045,3.500,287.156,2.000,27.273,2.000,10.707,25.887,15.385,22.392,34.328,6.000,3.000,82.551,4.755,0.500,2.377,3.000,0.000,6.000,302
HumanEval_68,humaneval,fail,0,,0,,0,12.000,7.000,90.778,94.012,3.125,293.786,7.000,50.000,2.000,10.559,26.006,19.444,28.640,51.316,5.000,3.000,38.630,38.039,1.143,43.473,2.000,0.000,5.000,322
HumanEval_69,humaneval,pass,0,,0,,3,10.000,4.000,65.762,49.829,3.000,149.487,4.000,0.000,5.000,28.202,36.145,46.429,15.716,55.738,9.000,4.000,89.758,48.432,2.571,124.540,4.000,0.000,3.000,142
HumanEval_70,humaneval,pass,0,,0,,0,11.000,4.000,100.000,2.000,0.500,1.000,4.000,0.000,4.000,30.432,47.758,44.000,24.569,52.800,7.000,3.000,94.386,8.000,1.000,8.000,3.000,0.000,4.000,281
HumanEval_71,humaneval,pass,0,,0,,12,21.000,7.000,80.408,348.063,7.360,2561.745,4.000,80.952,3.000,79.425,94.900,86.420,93.896,89.908,7.000,4.000,80.868,262.331,6.857,1798.841,2.000,0.000,1.000,414
HumanEval_72,humaneval,fail,0,,0,,0,,,,,,,,,,1.139,9.073,3.310,30.501,,10.000,4.000,84.521,66.608,3.750,249.780,4.000,0.000,2.000,2048
HumanEval_73,humaneval,fail,0,,0,,0,,,,,,,,,,2.002,11.587,4.463,43.256,,6.000,3.000,85.550,55.507,2.222,123.348,3.000,0.000,2.000,2048
HumanEval_74,humaneval,pass,0,,0,,0,9.000,6.000,96.584,31.699,1.500,47.549,4.000,44.444,3.000,12.054,44.795,38.806,30.437,61.017,11.000,4.000,91.993,23.265,1.500,34.897,4.000,0.000,1.000,257
