task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_52,humaneval,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,1.000,6.661,19.181,31.579,10.550,29.412,5.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,30
HumanEval_53,humaneval,pass,0,,0,,0,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,62
HumanEval_54,humaneval,fail,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,1.000,48.327,52.800,60.000,55.032,100.000,2.000,1.000,68.000,4.755,0.500,2.377,0.000,0.000,1.000,32
HumanEval_55,humaneval,pass,0,,0,,0,5.000,2.000,86.403,36.000,2.400,86.400,3.000,0.000,1.000,55.659,62.508,73.333,56.107,86.154,6.000,3.000,89.327,47.549,2.500,118.872,3.000,0.000,1.000,81
HumanEval_56,humaneval,pass,1,magic_number,1,magic_number,0,9.000,6.000,65.783,62.907,2.444,153.774,8.000,0.000,3.000,19.977,38.847,40.000,15.491,45.361,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,69
HumanEval_57,humaneval,pass,0,,0,,0,2.000,4.000,79.233,25.266,2.250,56.849,1.000,0.000,2.000,4.744,14.172,26.316,13.318,45.455,4.000,3.000,80.659,25.266,1.200,30.319,2.000,0.000,1.000,49
HumanEval_58,humaneval,pass,0,,0,,0,3.000,1.000,84.716,4.755,0.500,2.377,0.000,0.000,2.000,3.484,24.612,23.077,6.042,34.483,7.000,4.000,100.000,4.755,0.500,2.377,6.000,0.000,4.000,40
HumanEval_59,humaneval,pass,1,magic_number,1,magic_number,0,11.000,5.000,89.019,88.811,5.000,444.053,5.000,36.364,3.000,17.294,32.132,37.037,18.693,45.752,13.000,4.000,89.249,101.950,3.692,376.432,15.000,0.000,3.000,201
HumanEval_60,humaneval,pass,0,,0,,0,2.000,1.000,83.276,27.000,1.800,48.600,0.000,0.000,0.000,36.721,33.518,60.000,32.041,66.667,2.000,1.000,57.383,4.755,0.500,2.377,0.000,0.000,2.000,28
HumanEval_61,humaneval,pass,1,magic_number,1,magic_number,0,9.000,6.000,65.783,62.907,2.444,153.774,8.000,0.000,3.000,19.766,38.673,40.000,15.491,45.361,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,66
HumanEval_62,humaneval,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,2.000,21.640,39.424,57.143,28.742,72.000,2.000,2.000,57.211,4.755,0.500,2.377,0.000,0.000,1.000,29
HumanEval_63,humaneval,pass,1,magic_number,1,magic_number,0,10.000,5.000,64.276,77.709,2.100,163.189,6.000,0.000,1.000,25.093,38.514,42.623,35.423,50.000,8.000,4.000,79.123,86.039,2.667,229.438,4.000,0.000,1.000,93
HumanEval_64,humaneval,fail,0,,0,,0,,,,,,,,,,0.639,6.149,7.113,20.560,,9.000,4.000,90.574,74.231,3.000,222.693,2.000,0.000,1.000,2048
HumanEval_65,humaneval,fail,0,,0,,0,5.000,2.000,69.410,49.829,3.000,149.487,1.000,0.000,2.000,27.044,54.960,40.000,25.787,58.065,6.000,2.000,87.025,48.432,2.571,124.540,2.000,0.000,2.000,49
HumanEval_66,humaneval,pass,0,,0,,0,2.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,26.251,42.094,42.857,14.717,61.538,3.000,4.000,57.973,4.755,0.500,2.377,2.000,0.000,3.000,25
