task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_211,mbpp,fail,0,,0,,0,6.000,3.000,70.736,49.829,2.143,106.776,3.000,0.000,1.000,29.641,52.266,52.632,23.012,52.941,5.000,2.000,76.473,13.932,1.333,18.575,1.000,0.000,1.000,313
mbpp_212,mbpp,pass,0,,0,,0,2.000,2.000,84.828,15.510,1.000,15.510,0.000,0.000,2.000,46.944,58.196,65.000,11.298,47.222,6.000,2.000,71.013,47.549,1.429,67.927,1.000,0.000,1.000,112
mbpp_213,mbpp,fail,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,1.000,12.982,37.940,32.432,21.431,80.645,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,315
mbpp_214,mbpp,pass,0,,0,,0,3.000,1.000,81.121,15.510,1.000,15.510,0.000,0.000,0.000,30.587,61.527,41.667,17.850,82.927,4.000,1.000,78.396,15.510,1.000,15.510,0.000,0.000,0.000,174
mbpp_215,mbpp,fail,0,,0,,0,8.000,3.000,69.874,27.000,1.000,27.000,4.000,0.000,2.000,12.077,29.455,25.397,23.858,50.769,7.000,4.000,100.000,0.000,0.000,0.000,4.000,0.000,3.000,369
mbpp_216,mbpp,fail,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,21.993,40.832,41.026,9.735,42.424,7.000,3.000,76.420,4.755,0.500,2.377,3.000,0.000,0.000,360
mbpp_217,mbpp,pass,0,,0,,0,7.000,3.000,76.420,4.755,0.500,2.377,3.000,0.000,2.000,23.360,53.254,46.809,19.848,82.353,8.000,3.000,75.155,4.755,0.500,2.377,4.000,0.000,0.000,223
mbpp_218,mbpp,fail,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,1.000,6.105,30.276,25.806,8.979,40.678,6.000,2.000,72.936,25.266,2.250,56.849,1.000,0.000,2.000,173
mbpp_219,mbpp,fail,0,,0,,0,2.000,1.000,84.716,4.755,0.500,2.377,0.000,0.000,2.000,8.470,26.047,36.364,14.881,37.500,9.000,4.000,67.439,39.863,2.667,106.302,4.000,0.000,6.000,282
mbpp_220,mbpp,fail,0,,0,,0,6.000,2.000,69.082,55.507,1.500,83.260,1.000,0.000,3.000,11.980,38.437,26.667,29.464,33.684,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,287
mbpp_221,mbpp,pass,0,,0,,0,5.000,3.000,76.013,15.510,1.000,15.510,3.000,0.000,0.000,30.843,41.531,61.111,13.304,69.091,3.000,3.000,79.524,24.000,1.500,36.000,0.000,0.000,1.000,174
mbpp_222,mbpp,pass,0,,0,,0,8.000,3.000,75.155,4.755,0.500,2.377,3.000,0.000,1.000,23.551,39.334,44.000,36.923,65.823,7.000,3.000,79.054,2.000,0.500,1.000,3.000,0.000,2.000,205
mbpp_223,mbpp,pass,0,,0,,0,9.000,4.000,67.316,41.513,2.286,94.887,5.000,0.000,1.000,4.600,20.456,33.043,14.310,34.513,18.000,10.000,53.446,367.355,8.214,3017.558,12.000,0.000,1.000,284
mbpp_224,mbpp,pass,0,,0,,0,6.000,2.000,72.936,25.266,2.250,56.849,1.000,0.000,0.000,85.325,91.693,100.000,83.212,100.000,6.000,2.000,72.936,25.266,2.250,56.849,1.000,0.000,0.000,169
mbpp_225,mbpp,pass,0,,0,,0,12.000,5.000,60.811,137.608,3.143,432.481,6.000,0.000,1.000,16.088,31.009,45.652,22.644,41.284,10.000,4.000,63.702,98.099,4.364,428.069,5.000,0.000,0.000,360
mbpp_226,mbpp,pass,0,,0,,0,2.000,3.000,84.693,15.510,1.000,15.510,0.000,0.000,3.000,45.045,50.574,63.415,27.705,58.228,6.000,3.000,72.432,28.529,1.500,42.794,3.000,0.000,2.000,143
mbpp_227,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,14.982,27.410,50.000,9.563,40.000,8.000,5.000,67.330,57.059,1.714,97.815,5.000,0.000,0.000,136
mbpp_228,mbpp,fail,0,,0,,0,5.000,3.000,74.327,27.000,1.800,48.600,3.000,0.000,1.000,25.327,48.570,45.614,17.608,62.651,6.000,2.000,68.811,98.099,3.333,326.997,1.000,0.000,0.000,273
mbpp_229,mbpp,fail,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,6.578,35.044,41.860,6.108,28.571,9.000,3.000,70.444,15.510,1.000,15.510,3.000,0.000,1.000,297
mbpp_230,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,56.879,70.812,60.000,27.117,78.788,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,140
mbpp_231,mbpp,pass,0,,0,,0,6.000,3.000,70.682,50.719,2.500,126.797,3.000,0.000,3.000,5.515,22.087,37.143,18.455,21.483,13.000,5.000,57.871,282.026,3.636,1025.550,8.000,0.000,2.000,315
mbpp_232,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,28.985,30.413,38.462,17.449,69.767,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,291
mbpp_233,mbpp,fail,0,,0,,0,4.000,1.000,76.912,25.266,0.500,12.633,0.000,0.000,0.000,16.809,62.962,31.250,25.584,86.275,3.000,1.000,79.637,25.266,0.500,12.633,0.000,0.000,0.000,172
mbpp_234,mbpp,pass,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,0.000,26.731,44.794,47.059,12.370,46.667,3.000,1.000,82.608,9.510,1.000,9.510,0.000,0.000,0.000,92
mbpp_235,mbpp,fail,1,magic_number,0,,3,5.000,1.000,96.531,38.039,1.143,43.473,0.000,20.000,1.000,21.335,31.027,26.230,8.095,23.913,8.000,3.000,63.903,96.000,6.222,597.333,3.000,0.000,0.000,160
mbpp_236,mbpp,fail,1,magic_number,0,,3,8.000,3.000,84.016,140.230,4.375,613.508,3.000,12.500,1.000,12.871,27.550,32.558,13.140,46.753,9.000,2.000,62.388,229.248,5.500,1260.865,2.000,0.000,0.000,294
mbpp_237,mbpp,fail,0,,0,,0,8.000,3.000,71.560,15.510,1.000,15.510,4.000,0.000,0.000,9.169,31.174,25.000,8.348,43.373,4.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,412
mbpp_238,mbpp,fail,1,magic_number,0,,3,5.000,3.000,93.590,51.891,1.111,57.657,0.000,20.000,4.000,9.515,37.274,25.397,28.313,38.835,3.000,1.000,79.435,27.000,1.800,48.600,0.000,0.000,2.000,205
