task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
duplicated_code_basic_004,emphatic,basic,Scientific Computing,Recommend,duplicate_code,0,,0,,1,5,0,3,51.000,9.000,66.142,4.755,0.500,2.377,4.000,1.961,10.000,684
duplicated_code_basic_005,emphatic,basic,General Software,Analyze,duplicate_code,1,duplicate_code,1,duplicate_code,0,4,0,2,20.000,18.000,89.305,4.000,1.000,4.000,2.000,20.000,3.000,476
duplicated_code_basic_006,emphatic,basic,E-commerce,Measure,duplicate_code,0,,0,,0,3,0,1,19.000,6.000,100.000,0.000,0.000,0.000,3.000,0.000,3.000,500
duplicated_code_basic_007,emphatic,basic,Finance,Recommend,duplicate_code,0,,0,,0,3,0,2,10.000,3.000,94.737,25.266,0.500,12.633,0.000,30.000,1.000,447
duplicated_code_intermediate_001,emphatic,intermediate,Healthcare,Analyze,duplicate_code,1,duplicate_code,2,dead_code;duplicate_code,7,3,0,7,46.000,12.000,76.214,33.688,0.500,16.844,9.000,19.565,7.000,916
duplicated_code_intermediate_002,emphatic,intermediate,Scientific Computing,Recommend,duplicate_code,0,,0,,6,5,0,5,37.000,12.000,61.183,72.648,4.000,290.592,4.000,2.703,9.000,573
duplicated_code_intermediate_003,emphatic,intermediate,General Software,Measure,duplicate_code,0,,1,dead_code,5,6,0,3,42.000,18.000,50.026,64.725,3.056,197.771,13.000,0.000,9.000,802
duplicated_code_intermediate_004,emphatic,intermediate,E-commerce,Evaluate,duplicate_code,1,magic_number,1,magic_number,0,3,0,6,41.000,20.000,70.583,189.461,1.500,284.192,16.000,21.951,1.000,885
duplicated_code_intermediate_005,emphatic,intermediate,Finance,Implement,duplicate_code,1,magic_number,2,dead_code;magic_number,4,8,0,5,48.000,13.000,74.743,72.340,1.636,118.374,5.000,27.083,13.000,779
duplicated_code_intermediate_006,emphatic,intermediate,Healthcare,Design,duplicate_code,1,duplicate_code,2,dead_code;duplicate_code,7,3,0,7,46.000,12.000,76.214,33.688,0.500,16.844,9.000,19.565,7.000,916
