smell,measure,family,injected_d,injected_lo,injected_hi,real_d,real_lo,real_hi,capped
inefficient_copy,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,1.016,0.798252821889633,1.233747178110367,False
inefficient_copy,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.65,0.4347297317189457,0.8652702682810544,False
inefficient_copy,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,0.089,-0.1245697885353354,0.3025697885353354,False
inefficient_copy,api_calls,structural,-0.0084,-0.28558708061206606,0.268787080612066,-1.594,-1.8177574291805514,-1.3702425708194488,False
inefficient_copy,perplexity,fluency,-0.0799,-0.35719643350039687,0.19739643350039685,-0.445,-0.6593512132845679,-0.23064878671543207,False
inefficient_copy,bleu,similarity,1.7279,1.4030830187788206,2.052716981221179,,,,False
inefficient_copy,chrf,similarity,1.4953,1.181762449214835,1.808837550785165,,,,False
inefficient_copy,rouge_l,similarity,1.6172,1.297904391813229,1.936495608186771,,,,False
inefficient_copy,codebleu,similarity,2.2366,1.8832236378954588,2.5899763621045415,,,,False
inefficient_copy,ast_similarity,similarity,2.0016,1.6620274890597884,2.3411725109402113,,,,False
inefficient_copy,codebert_score,similarity,1.9851,1.6464589898077318,2.3237410101922684,,,,False
inefficient_copy,bertscore,similarity,2.2971,1.9400158034725703,2.6541841965274298,,,,False
duplicate_code,sloc,structural,1.0629,0.7667882296131407,1.3590117703868592,1.55,1.3790697484281051,1.720930251571895,False
duplicate_code,cyclomatic,structural,1.1027,0.8051937685137336,1.4002062314862664,1.079,0.9140763586181313,1.2439236413818686,False
duplicate_code,cognitive,structural,0.6903,0.40497835462348813,0.9756216453765119,0.735,0.5731878409882533,0.8968121590117467,False
duplicate_code,maintainability,structural,0.5385,0.2563351731186185,0.8206648268813814,1.36,1.1917252877272644,1.5282747122727358,False
duplicate_code,halstead_volume,structural,0.7504,0.46362480243814663,1.0371751975618533,1.066,0.9012141453931416,1.2307858546068586,False
duplicate_code,halstead_difficulty,structural,0.0015,-0.2756858972043852,0.2786858972043852,1.009,0.8447998570736404,1.1732001429263594,False
duplicate_code,halstead_effort,structural,0.4167,0.1365221495200593,0.6968778504799407,0.722,0.5602832211630682,0.8837167788369318,False
duplicate_code,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.487,-0.6472792652143363,-0.32672073478566366,False
duplicate_code,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,-1.433,-1.6022588258101924,-1.2637411741898077,False
duplicate_code,perplexity,fluency,-1.028,-1.3229260136644443,-0.7330739863355558,-0.624,-0.785050970323717,-0.46294902967628304,False
duplicate_code,bleu,similarity,5.0,,,,,,True
duplicate_code,chrf,similarity,5.0,,,,,,True
duplicate_code,rouge_l,similarity,5.0,,,,,,True
duplicate_code,codebleu,similarity,5.0,,,,,,True
duplicate_code,ast_similarity,similarity,5.0,,,,,,True
duplicate_code,codebert_score,similarity,5.0,,,,,,True
duplicate_code,bertscore,similarity,5.0,,,,,,True
magic_number,sloc,structural,0.213,-0.06497072485425512,0.4909707248542551,0.544,0.4037760823003437,0.6842239176996564,False
magic_number,cyclomatic,structural,0.0,-0.27718585822512665,0.27718585822512665,1.318,1.1700901145177918,1.4659098854822084,False
magic_number,cognitive,structural,0.0,-0.27718585822512665,0.27718585822512665,0.892,0.7490641782863372,1.0349358217136628,False
